Region,UBR Level 8 Name,UBR Level 9 Name,Portfolio Name,Trader Book Name,trade_id,historically_arrives_late,was_missing_yesterday,expected_arrival_time_ist
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01001,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01002,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01003,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01004,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01005,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01006,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01007,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01008,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01009,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01010,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01011,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01012,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01013,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01014,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01015,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01016,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01017,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01018,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01019,false,false,
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01020,false,false,
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02001,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02002,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02003,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02004,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02005,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02006,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02007,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02008,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02009,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02010,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02011,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02012,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02013,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02014,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02015,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02016,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02017,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02018,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02019,true,false,14:15
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02020,true,false,14:15
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03001,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03002,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03003,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03004,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03005,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03006,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03007,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03008,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03009,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03010,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03011,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03012,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03013,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03014,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03015,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03016,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03017,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03018,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03019,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03020,false,true,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04001,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04002,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04003,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04004,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04005,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04006,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04007,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04008,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04009,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04010,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04011,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04012,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04013,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04014,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04015,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04016,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04017,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04018,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04019,false,false,
India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04020,false,false,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05001,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05002,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05003,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05004,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05005,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05006,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05007,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05008,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05009,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05010,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05011,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05012,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05013,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05014,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05015,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05016,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05017,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05018,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05019,false,true,
India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05020,false,true,
