cobdate,Region,UBR Level 8 Name,UBR Level 9 Name,Portfolio Name,Trader Book Name,trade_id,t_minus_1_mvar_eur
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01001,25000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01002,25000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01003,25000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01004,25000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01005,25000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01006,5000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01007,5000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01008,5000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01009,5000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01010,5000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01011,5000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01012,5000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01013,5000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01014,5000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01015,5000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01016,5000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01017,5000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01018,5000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01019,5000
2026-06-04,Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01020,5000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02001,25000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02002,25000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02003,25000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02004,25000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02005,25000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02006,5000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02007,5000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02008,5000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02009,5000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02010,5000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02011,5000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02012,5000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02013,5000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02014,5000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02015,5000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02016,5000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02017,5000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02018,5000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02019,5000
2026-06-04,Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02020,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03001,25000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03002,25000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03003,25000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03004,25000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03005,25000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03006,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03007,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03008,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03009,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03010,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03011,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03012,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03013,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03014,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03015,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03016,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03017,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03018,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03019,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 03,ECR Book 03,T03020,5000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04001,25000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04002,25000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04003,25000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04004,25000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04005,25000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04006,5000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04007,5000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04008,5000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04009,5000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04010,5000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04011,5000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04012,5000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04013,5000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04014,5000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04015,5000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04016,5000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04017,5000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04018,5000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04019,5000
2026-06-04,India,Europe Core Rates,Europe Linear Flow,ECR Portfolio 04,ECR Book 04,T04020,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05001,25000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05002,25000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05003,25000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05004,25000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05005,25000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05006,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05007,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05008,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05009,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05010,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05011,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05012,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05013,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05014,5000
2026-06-04,India,Europe Core Rates,Europe Non Linear,ECR Portfolio 05,ECR Book 05,T05015,5000
