trade_id,region,book_id,ubr_level_8,ubr_level_9,portfolio,status
T01001,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01002,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01003,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01004,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01005,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01006,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01007,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01008,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01009,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01010,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01011,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01012,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01013,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01014,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01015,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01016,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01017,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01018,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01019,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T01020,Japan,ECR Book 01,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,arrived_but_errored
T02001,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02002,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02003,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02004,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02005,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02006,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02007,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02008,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02009,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02010,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02011,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02012,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02013,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02014,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02015,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02016,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02017,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02018,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02019,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
T02020,Japan,ECR Book 02,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,expected_to_arrive_late
