Region,UBR Level 8 Name,UBR Level 9 Name,Portfolio Name,Trader Book Name,trade_id,present_in_upstream
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01001,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01002,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01003,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01004,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01005,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01006,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01007,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01008,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01009,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01010,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01011,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01012,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01013,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01014,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01015,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01016,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01017,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01018,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01019,true
Japan,Europe Core Rates,Europe Non Linear,ECR Portfolio 01,ECR Book 01,T01020,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02001,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02002,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02003,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02004,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02005,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02006,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02007,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02008,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02009,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02010,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02011,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02012,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02013,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02014,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02015,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02016,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02017,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02018,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02019,true
Japan,Europe Core Rates,Europe Linear Flow,ECR Portfolio 02,ECR Book 02,T02020,true
